Class,News,News
neutral,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,The proposal of the Board of Directors on the issuance of the rights of the options will otherwise correspond to the proposal by the Board of Directors of the notice to the General Assembly.
neutral,The purchase sum is about EUR 10mn US$ 12.97 mn .,The amount of purchase is around 10 million euros 12.97 minutes.
neutral,"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .","Recruitment is linked to the relocation of Stora Enso's research operations in Karlstad, in the center of Sweden."
neutral,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,The remote radio head module will be available at 4W Power for TDD frequency bands at 2.5 GHz and 3.5 GHz.
neutral,"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .","The report examines the structure and commercial operations of medical equipment, history and products, and provides an analysis of its main income lines of medical equipment."
neutral,The restructuring measures will not affect the production of packaging printing material .,Restructuring measures will not affect the production of packaging printing equipment.
neutral,"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October .","The sale, including the Margarine sector in Finland and Poland, follows the approval of the Polish competition authorities earlier in October."
neutral,"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .","The sale of after -sales service in the face of CENCORP will result in a profit or loss which cannot yet be determined, due to factors, in particular the evaluation of counterparts to receive and the exchange rates in force."
neutral,"The sale will be finalized in September or October , the company said .","The sale will be finalized in September or October, said the company."
neutral,"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .","The share capital of the identification of the affairs of Alma Media Corporation 1944757-4 is 44,767,513.80 EUR and is divided into 74,612,523 shares."
neutral,"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .","The actions taken out under the purchase options of shares were recorded in the commercial register on January 20, 2011, on what date the new shares will establish the rights of shareholders."
neutral,"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .","The cranes of the ship, which will be manufactured by Macgregor's partner factories in China, will be delivered between 2008-2010 for ships commanded by Chinese Cosco, German Peter Dohle and Shipping Cido based in Hong Kong."
neutral,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,The vessel of the ship is completely locked up along the entire transport line with storage facilities.
neutral,The site will cover over six hectares .,The site will cover more than six hectares.
neutral,"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .","The study was not designed to allow a formal statistical assessment of therapeutic activity, said the company."
neutral,The transaction will take place without payment of merger consideration .,The transaction will take place without payment of the merger.
neutral,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,The unit should be operational during the second half of 2007 and running in 2008.
neutral,"The wireless industry is bracing itself for the iPhone , which will launch on June 29 .","The wireless industry is preparing for the iPhone, which will be launched on June 29."
neutral,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,Their offer also covers location services linked to production transfer to clients of the Finnish company who already have production on the Asian market or have made the decision to transfer production.
neutral,"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously .","There are currently ten stores selling tikkurila paintings in Kazakhstan, and other stores will be open continuously."
neutral,"There have been 15 initial public offerings announced in Sweden this year , compared with two during the same period a year earlier , Bloomberg data shows .","This year, 15 initial public offers were announced in Sweden, against two during the same period a year earlier, according to Bloomberg data."
neutral,They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,"They will both note the chief executive officer of Oriola-Kd, Eero Hautaniemi."
neutral,This is the company 's first contract abroad .,This is the first contract of the company abroad.
neutral,This release is not an offer of securities for sale into the United States or elsewhere .,This version is not an offer of securities to sell in the United States or elsewhere.
neutral,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,This solution is an extension of the existing online mediation solution previously delivered by account and IBM.
neutral,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .","Thanks to its partnership with the Danish Oscar from Finnish Paulig, Puljonki acquired a commercial organization on the European market."
neutral,"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .","Tieto in Latvia is represented by Tietoenator and Tietoenator IT services companies, which has operations in financial service cards, retail and logistics and computer externalization and managed services."
neutral,"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .","With Latvia, Cramo will operate 54 rental points in the Baltic States."
neutral,Two other sites will be included later on .,Two other sites will be included later.
neutral,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","According to a preliminary estimate, the technological park will measure around 50,000 square meters."
neutral,"Under the changes envisaged , HK Ruokatalo would reduce its number of industrial places of business in Finland from eight to six .","According to the changes envisaged, HK RUOKATALO would reduce its number of industrial places in Finland from eight to six."
neutral,Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,"At the end of the sale, Proha would obtain a little of 12 USD for his participation in Artemis."
neutral,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,The objective of W + ærtsil + æ is to serve the number of rapidly growing ships and an increasing marine activity in the region of the Barent Sea.
neutral,Valga Lihatoostus markets its products under the Maks & Moorits trademark .,Valga Lihatoostus markets its products under the Maks & Moorits brand.
neutral,"We know that it exists , '' Artemyev said .","We know that it exists, ”said Artemyev."
neutral,We offer our customers solutions based on renewable raw materials .,We offer our customers solutions according to renewable raw materials.
neutral,"When dialing in , the participants should quote 877417 as conference ID .","During the composition, participants must cite 877417 as a conference identifier."
neutral,Work on the assignment has already started and is due for completion in spring 2011 .,The work on the mission has already started and is due to the completion in spring 2011.
neutral,"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",LEGREND yesterday issued its fixed rate agreement of 300 million E300 million on maturation in 2017.
neutral,Yvonne Jones is owner of Chameleon Interiors .,Yvonne Jones owns Chameleon Interiors.
neutral,ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,Zao Yit Moskovia builds housing in Moscow and its surrounding cities.
neutral,"BAWAG - Is to issue a benchmark , covered deal .","Bawag - is to make a reference, a covered offer."
neutral,"JVC will stop producing DVD players in Brazil : JVC do Brazil , a subsidiary of Japan 's JVC group announced it will stop the production of DVD players in Brazil .","JVC will stop producing DVD players in Brazil: JVC Do Brazil, a subsidiary of the Japanese JVC group announced that it would stop the production of DVD players in Brazil."
neutral,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .","SWEDBANK HYPOTEK - must issue a fixed rate reference in euros, in maturation in January 2010."
neutral,"Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution , the latter company said in a statement .","The Argentine Calafate agricultural export company operated the Compatriot Finnegans for a software solution, the latter company said in a press release."
neutral,"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .","The manufacturer of Finnish printed circuits (PCBS) Aspocomp Group Oyj said on December 4, 2006, he appointed Henry Gilchrist, main vice-president of the group's Asian operations, on January 8, 2007."
neutral,` Nordic infrastructure construction is one of our strategic growth areas .,“The construction of Nordic infrastructure is one of our areas of strategic growth.
neutral,` Pulp and paper industries are growing in countries like China and Russia .,“Pulp and paper industries are increasing in countries like China and Russia.
neutral,"` Sanoma is a buyer not a target , ' he said .","""Sanoma is a buyer and not a target,"" he said."
neutral,"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .","`` After the transaction, Tikkurila has no operations related to powder coverings '' said the company."
neutral,"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .","`` If you need malware deletion tools, enter your supplier's URL of choice directly in the browser bar and use links on their website '', Rik Ferguson of Trend Micro."
neutral,`` It wo n't happen overnight .,`` It will not happen overnight.
neutral,`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,`` Print fabrics and related design expertise have always been at the heart of Marimekko's business and brand.
neutral,`` Serving customers locally is one of the cornerstones of customer focus for us .,`` Serving customers locally is one of the cornerstone of customer orientation for us.
neutral,"`` We have become convinced that we can do that very quickly , '' he told Finnish business reporters .","`` We have become convinced that we can do it very quickly, '' he told Finnish business journalists."
neutral,`` We know there are some of our own people out there . '',`` We know that there are some of our own people. ''
neutral,#ERROR!,#ERROR!
neutral,"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .","May 19, 2010 - The Finnish company Lemminkainen Oyj (HEL: LEM1S) said today that it would build an office building in Toolonlahti in downtown Helsinki, without disclosing financial details."
neutral,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,"November 25, 2010 - Finnish painting and coating company Tikkurila Oyj (HEL: TIK1V) said today that the Finnish state investment company Solitium Oy had sold its participation of 14.7% in the company for a total of 98 million euros."
neutral,26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .,"January 26, 2011 - The supplier of Finnish software solutions Basware (HEL: BAS1V) said yesterday that it has adjusted its strategy and its objectives for the next four years by emphasizing international growth mainly via acquisitions."
neutral,26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,"November 26, 2010 - The Finnish Sports crew manufacturer Amer Sports Oyj (Hel: Ameas) said today that he had obtained a Schuldschein note loan of 30 million euros from a pool of international investors ."
neutral,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .","January 3, 2011 - Scandinavian Lenders Sampo Bank (Hel: Samas), Pohjola Bank (Hel: PoH1S) and Svenska Handelsbanken (STO: SHB A) provided a line of credit of 160 million euros), the credit line in Lemminkainen OYJ (HEL: LEM1), the credit line Friday, a Finnish construction company."
negative,55 workers in +_m+_l will be affected by the close-down .,55 Workers in + _M + _L will be affected by the closure.
neutral,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .","A Coker crane will be provided to the Tesoro Corporation gold refinery in Martinez, California, while a similar crane will be delivered to the Castell refinery in BP in Spain."
neutral,A few employees would remain at the Oulu plant in support functions for other group units .,Some employees would remain at the Oulu factory depending on support for other group units.
neutral,A huge issue for us is the button placement .,A huge problem for us is the placement of the button.
neutral,A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,A merger between the UPM and the Finnish-Swedsh Enso stora is probably nor is probable.
neutral,A paper mill in the central Maine town of Madison soon will have a new owner .,A stationery in the central city of Maine de Madison will soon have a new owner.
neutral,A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,A total of 30% of the order value was reserved for the fourth quarter of 2009 and the rest will be reserved in the second quarter of 2010.
neutral,"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .","A total of 131,000 shares of the company Mining Mining Company PLC were subscribed during the period between May 1, 2010 and June 30, 2010 under the rights of action of the 2007A company."
neutral,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .","In total, 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on April 19 exercising the A-B-C options according to the company's purchase option plan of the 1999 company."
neutral,"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 .","A total of 750,330 CityCon new actions with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options according to the company's purchase option plan of the 1999 company."
neutral,"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million ) .","ABN Amro Capital has agreed to sell its designer cleaning producer based in Helsinki, Iittala Oyj, to the group of consumer products Crosstown Fiskars Corp., for 230 million euros at 235 million euros ($ 310 million at 316 millions of dollars)."
neutral,"According to preliminary information by the Finnish Forest Industries Federation , imports of roundwood to Finland increased to about 20 million m3 in 2005 , representing an increase of 15 % from 2004 .","According to preliminary information from the Finnish Federation of Forest industries, imports of round wood to Finland increased to around 20 million m3 in 2005, which represents an increase of 15% compared to 2004."
negative,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,"Stockmann Group, based in Finland, ended seven Nike franchising sports stores in Russia."
neutral,"Finnish AC drives manufacturer Vacon is acquiring the AC drives business of TB Wood 's , part of the US group Altra Holdings .","The Finnish manufacturer AC Drives Vacon acquires the Ac Drives activity of TB Wood, which is part of the American group Altra Holdings."
neutral,Finnish beverage company Olvi is one of the last listed companies in Finland that has not yet published its financial result for the second quarter of 2009 .,The Finnish drinking company OLVI is one of the last listed companies in Finland which have not yet published its financial result for the second quarter of 2009.
neutral,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,The Group of Finnish stores Stockmann plans to acquire around 141 million euros thanks to a directed program and a rights offer.
neutral,"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .","The CEO of the Finnish group Kemira, Lasses Kurkilahti, says that the structural reorganization of the group will continue for at least a year."
neutral,Finnish power company Fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,Finnish Power Company Fortum reports that 89% of its electricity was produced without carbon dioxide emissions in 2007.
neutral,Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,The Finnish Rautaruukki engineering division Ruukki Engineering will reorganize its operations in the MO I Rana factory in Norway.
neutral,Finnish stainless steel manufacturer Outokumpu in Degefors is planning to recruit new engineers in order to meet a retirement wave over the next few years .,The Finnish manufacturer in stainless steel Outokumpu in Degefors plans to recruit new engineers to meet a wave of retirement in the coming years.
neutral,"Finnish W+Ærtsil+Æ that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk , in Russia .","Finnish W + ærtsil + æ which provides power solutions for the marine and energy markets has opened a service center in Murmansk, Russia."
negative,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .","In Finland, Sampo Bank, which is now part of the Dake Bank group, will link the staff of administrative and support functions."
neutral,"Local government commissioner of +_m+_l , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +_m+_l .","The local government commissioner of + _M + _L, Kurt Svensson, said that he will contact the management of the Finnish company Componenta to find out if there are alternatives to the company's decision to close his factory in + _m + _I."
neutral,"Private equity investor CapMan , the owner of Finnish Lumene cosmetics company , is planning to list Lumene .","The investor of investment capital Capman, owner of the Finnish Lumene Cosmetics Company, plans to list Lumene."
negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .","Scanfil, a supplier of systems and a contract manufacturer in the communications sector, will give an opinion to 20 production employees and temporarily dismiss 15 employees at the company factory in Sievi, Finland."
negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .","Scanfil, a supplier of systems and a contract manufacturer in the communications sector, will start staff negotiations in Oulu, Finland, to temporarily dismiss the staff."
neutral,"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+Ænge , by the turn of the month March-April 2008 .","The company Consultant in Swedish engineering, Etteplan, must establish a unit of the city Borl + æ, at the beginning of March-April 2008."
neutral,"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .","The Finnish investment company SPonda leads negotiations to acquire the Dukat Palace-2 affairs center located in the center of Moscow, from London and Regional Properties."
neutral,"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .","According to Finnish Fim Bank, the price of Alpro is around 100 min-50mn."
neutral,"According to Heikkil+Æ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .","According to Heikkil + æ, more than ""refreshment and energy"" will soon be in carbonated drinks also in Finland."
neutral,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .","According to HK RUOKATALO, almost all the meat used by the company comes from Finland."
neutral,"According to L+Ænnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .","According to the CEO of L + ænnen Tehtaat, Matti Karppinen, the company aims to deliver fish products to its customers earlier than it does."
neutral,"According to Olvi , the company is already negotiating new agreements .","According to Olvi, the company is already negotiating new agreements."
neutral,"According to Saarioinen 's Managing Director Ilkka M+Ækel+Æ , the food industry sector has a significant excess of production machinery .","According to the director general of Saarioinen, ilkka m + ækel + æ, the food industry sector has a significant excess of production machines."
neutral,According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .,"According to the announcement of the Helsinki Stock Exchange, the share of Sente will be issued from the NM list of the Helsinki Stock Exchange as a result."
neutral,Activities range from the development of natural resources to the retailed marketing of finished products .,Activities range from the development of natural resources to retail marketing of finished products.
neutral,"Additionally , information on business segments , competitors and future outlook are provided .","In addition, information on corporate segments, competitors and future prospects is provided."
negative,"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .","In addition, the company will terminate a maximum of nine employment contracts for employee and senior employees."
neutral,"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .","In addition, the company will use solutions to automate the preparation of financial statements according to the IFRS standard."
neutral,Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,Affo has participated in the Norwegian retirement system development program since 2007.
neutral,"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .","Affoco will provide a new EFI data warehouse and a report solution, a behavioral rating system supporting operational decision -making processes and the migration of data from the old systems inherited to the new EFI system."
neutral,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,Affotogenimap builds highly personalized IT solutions for its customers in Finland and Baltic countries.
neutral,After 1 April 2007 Cencorp will not have any own employees in the territory .,"After April 1, 2007, Cencorp will not have employees on the territory."
neutral,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .","After buying a participation of Eukor car carriers, Grimaldi Group is now the only owner of the Wallhamn Roll-Off Port."
neutral,"After completion of the acquisition , Poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .","Once the acquisition is completed, the expertise in oil and gas from Poyry will cover multidisciplinary engineering and advice services through the full life cycle of petroleum and gas assets, including deep water engineering services ."
neutral,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .","After restructuring, the average UPM paper machine capacity in Europe will be 320,000 tonnes (350,000 short tonnes) in coated magazine paper and 420,000 tonnes (460,000 short tonnes) in coated paper."
neutral,"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .","After the transaction, M-Real will hold 30% in Metsa-Botnia and UPM-17%."
neutral,"After the transaction , Tikkurila has no powder coatings related operations .","After the transaction, Tikkurila has no operations related to powder coatings."
neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .","Ahlstrom Corporation 23.4.2007 Ahlstrom Corporation Ahlstrom Bourse announcement will publish its financial results in the first quarter of 2007 on Friday April 27, 2007 around 8:30 a.m., Finnish time."
neutral,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .","Ahms will also offer a hotel and hotel project advice, management services, brand franchise, training and sales and marketing services on a pan-Indian basis."
neutral,Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,Aktia provides Finland inflation at 1.1% in 2010.
neutral,Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,Aldata noted that its approach to technology of the voice supply chain allows VDW to integrate into warehouse management systems.
neutral,"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .","Aldata Oyj solution version of the stock market August 11, 2006, at 11:00 am, Aldata shares were subscribed with share purchase options in 2003, a total of 95,000 new shares of the Aldata Oyj solution were taken out with the options Purchase of 2003A shares from the company."
neutral,"ALEXANDRIA , Va. , Dec. 17 -- Reijo Salovaara , Nastola , Finland , has developed a veneer cutter .","Alexandria, Virginie, December 17 - Reijo Salovaaara, Nastola, Finland, has developed a veneer cutter."
neutral,"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .","Alexandria, Virginie, December 19 - Beautiful from the United States no. 7,853,620, published on December 14, were assigned to Nokia Corp. (Espoo, Finland)."
neutral,"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .","Alexandria, Virginie, December 22 - Beautiful from the United States no. 7,854,608, published on December 21, were assigned to Outotec Oyj (Espoo, Finland)."
neutral,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .","Alexandria, Virginie, January 9 - Patent of the United States no. 7,862,685, published on January 4, were assigned to Kemira Chemicals Inc. (Marietta, Ga.)."
neutral,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .","Alexandria, Virginie, March 15 - Jaakko Vilo from Turku, Finland, has developed a panel press."
neutral,"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .","Alexandria, Virginie, May 23 - Matti Harkonen and Pentti Sipponen, both from Espoo, Finland, Osmo Suovaniemi d'Helsinki, Finland and Tapani Tiusanen de Vantaa, Finland, have developed a paper web press device."
neutral,"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .","Alexandria, Virginie, October 23 - Hans -Otto Scheck of Espoo, Finland, has developed a method of identifying remote radio units in a communication system."
neutral,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .","Alexandria, Virginie, October 6 - Beautiful from the United States no. 7,804,288, published on September 28, were assigned to Vacon Oyj (Vaasa, Finland)."
neutral,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .","Alma Media Corporation Press Presse March 15, 2010 Tyrvaan Sanomat and Paikallissanomat bought by Suomen Paikallissanomat two local papers, Tyrvaan Sanomat and Paikallissanomat, appearing in Sastamala and its neighboring municipalities, must be purchased by Suomen Paikallissanomat Oy."
neutral,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+_+_N SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+Æ+Æn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .","Press release from Alma Media Corporation March 25, 2010 Tyrv + _ + _ N Sanomat Confirmed Purchase that Tyrv + æn + æn Sanomat oy will be transferred to Suomen Paikallissanomat Oy."
neutral,"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .","The Finnish investment of the industry, an investment company belonging to the government, will participate in the project."
neutral,"Also in Latvia , we act as a partner for bakery customers in both production and product development .","Still in Latvia, we act as a partner for bakery customers in the production and development of products."
neutral,"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+Ærvi , Vimpeli and Per+Æsein+Æjoki in Finland .","The construction of Ruukki, the construction division of Rautaruukki, launches employer-employee negotiations on its sites in Alaj + ærvi, vimpeli and per + æsein + æjoki in Finland."
negative,"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .","The city insurance company, if P&C Insurance, also said that it would not pay compensation."
neutral,"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .","In total, Capman employs around 150 people in Helsinki, Stockholm, Copenhagen, Oslo, Moscow and Luxembourg."
neutral,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .","Altona said that the private company of the president of Altona, Kevin Maloney, Tulla Resources, would fully take his right."
neutral,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for 27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",A Teliasonera acquisition would be the largest in France Telecom since its purchase in 2000 of Orange PLC for 27.8 billion (55.1 billion dollars) and would create the fourth largest telecommunications company in the world behind AT&T Inc. Inc. and NTT Corp NTT communications. from Japan.
neutral,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,Gain payment of up to 4.0 mln euro ($ 5.3 MLN) can also be paid according to the financial performance of Intellibis in 2007.
neutral,An EU law on the issue may be introduced around 2010 .,An EU law on the issue can be introduced around 2010.
positive,"And earlier this month , the company signed a deal with India-based information technology services giant Wipro Technologies to transfer and sell its radio access related R&D activities in Berlin .","And sooner this month, the company signed an agreement with the information giant of information technology based in India Wipro Technologies to transfer and sell its R&D activities linked to radio access to Berlin."
neutral,Another firm Air Liquide was exempted because it left the market in 1998 .,Another firm air liquid was exempt because it left the market in 1998.
neutral,"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .","Yit house apartments can be purchased in 5 regions of Russia, where Yit's subsidiaries put their activities: Moscow and Moscow, Saint Petersburg, Ekaterinburg, Kazan and Rostov-Non-Don."
neutral,"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .","About 166 million SEK reimbursements were required for surface in the Stockholm region, the remaining 87 million seks taken from the west coast, the inspection said."
neutral,Arena Partners Oy is a development company for electronic business .,Arena Partners Oy is a development company for electronic companies.
neutral,"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .","As a condition on the agreement, Savcor Alfa must have purchased the commercial operations of Photonium and Akseli Lahtinen Inc. before the agreement."
negative,"As a result , the company has decided it will implement fixed-term temporary lay-offs .","Consequently, the company has decided that it will implement fixed -term temporary layoffs."
negative,"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .","Consequently, the company will temporarily deposit 25% of all staff, around 270 people in the Kirkkonummi and Nivala factories."
