,News
3591,"['fiskars', 'engaged', 'global', 'supply', 'marine', 'energy', 'equipment', 'solution', 'service', 'associated', 'company', 'wartsila', 'corporation']"
4498,"['earnings', 'share', 'higher', 'year', 'ahead', 'market', 'consensus', 'eur']"
2890,"['financial', 'detail', 'nt', 'disclosed']"
3781,"['closing', 'transaction', 'scheduled', 'place', 'january']"
1766,"['purpose', 'action', 'ensure', 'company', 's', 'cost', 'effectiveness', 'year', 'near', 'future']"
4338,"['company', 'say', 'difficult', 'estimate', 'market', 'situation', 'year']"
2453,"['financialwire', 'tm', 'press', 'release', 'service', 'receives', 'compensation', 'news', 'opinion', 'distribution']"
4625,"['body', 'credit', 'fall', 'february']"
3613,"['production', 'entirely', 'labor', 'intensive', 'based', 'small', 'investment']"
3806,"['company', 'said', 'previously', 'eb', 'delivered', 'custom', 'solution', 'lg', 'electronics', 'making', 'commercially', 'available', 'mobile', 'terminal', 'vendor', 'wireless', 'operator']"
4537,"['answer', 'question', 'visitor', 'conversation', 'get', 'big', 'team', 'problem', 'setting', 'social', 'medium', 'channel']"
3487,"['selling', 'information', 'system', 'development', 'business', 'finn']"
1271,"['jon', 'risfelt', 'year', 'old', 'hold', 'master', 'science', 'chemical', 'engineering', 'swedish', 'royal', 'institute', 'technology']"
2921,"['gearing', 'compared']"
4366,"['viking', 'line', 'forced', 'alter', 'timetable', 'ferry', 'traveling', 'stockholm', 'helsinki', 'finland', 'depart', 'night']"
3105,"['retail', 'chain', 'suomen', 'læhikauppa', 'given', 'index', 'airline', 'sa', 'teliasonera', 's', 'broadband', 'german', 'retail', 'chain', 'lidl', 'tele', 'finland', 's', 'mobile', 'subscription', 'tallink', 'shipping', 'line', 'power', 'company', 'helsinki', 'energy']"
347,"['net', 'sale', 'surged', 'eur', 'million']"
3751,"['talentum', 'acquired', 'pct', 'stake', 'varesvuo', 'partner', 'remaining']"
4484,"['recruit', 'completed', 'kretailer', 'trainee', 'program', 'qualified', 'start', 'career', 'independent', 'retailer', 'kstores']"
2562,"['solteq', 'plc', 'announcement', 'share', 'repurchase', 'helsinki', 'stock', 'exchange', 'solteq', 'plc', 'hold', 'total', 'share', 'including', 'share', 'repurchased']"
4453,"['period', 's', 'sale', 'dropped', 'eur', 'm', 'eur', 'm', 'according', 'interim', 'report', 'released', 'today']"
1423,"['share', 'carry', 'right', 'dividend', 'shareholder', 'right', 'registration', 'finnish', 'trade', 'register']"
656,"['adp', 'news', 'nov', 'finnish', 'printed', 'circuit', 'board', 'pcb', 'maker', 'aspocomp', 'group', 'oyj', 'omx', 'acgv', 'said', 'today', 'net', 'loss', 'narrowed', 'eur', 'million', 'usd', 'm', 'month', 'eur']"
2102,"['finnish', 'glass', 'technology', 'group', 'glaston', 'corporation', 'omx', 'helsinki', 'glav', 'reported', 'thursday', 'august', 'operating', 'profit', 'eur', 'm', 'net', 'sale', 'eur', 'm', 'period', 'januaryseptember']"
632,"['new', 'technology', 'improves', 'glass', 'quality', 'consistency', 'increasing', 'throughput']"
2493,"['customer', 'include', 'local', 'company', 'slo', 'oy', 'kiilto', 'oy', 'toptronics', 'oy', 'normark', 'suomi', 'oy', 'pellonpaja', 'oy', 'mansner', 'oy']"
3921,"['total', 'investment', 'project', 'approximately', 'eur', 'm']"
3473,"['compagnie', 'financement', 'foncier', 'issue', 'benchmark', 'year', 'covered', 'deal', 'euro']"
3139,"['talvivaara', 'mining', 'company', 'plc', 'talvivaara', 'mining', 'company', 'internationally', 'significant', 'base', 'metal', 'producer', 'primary', 'focus', 'nickel', 'zinc', 'using', 'technology', 'known', 'bioheapleaching', 'extract', 'metal', 'ore']"
2937,"['work', 'netapp', 'included', 'strategically', 'repositioning', 'brand', 'category', 'major', 'global', 'relaunch']"
3410,"['substitute', 'ac', 'drive']"
2500,"['kone', 'listed', 'nordic', 'exchange', 'helsinki']"
1465,"['ruukki', 'experience', 'logistics', 'construction', 'competence', 'project', 'management', 'best', 'reference', 'term', 'steel', 'frame', 'production', 'installation', 'say', 'onodi', 'stefan', 'general', 'manager', 'arxikon', 'construction', 'company', 'srl', 'ruukki', 's', 'customer']"
2741,"['abn', 'amro', 'capital', 'agreed', 'sell', 'helsinkibased', 'designer', 'homeware', 'producer', 'iittala', 'oyj', 'crosstown', 'consumer', 'product', 'group', 'fiskars', 'corp', 'eur', 'million', 'eur', 'million', 'million', 'million']"
115,"['nokia', 'noted', 'average', 'selling', 'price', 'handset', 'declined', 'period', 'mobile', 'phone', 'profit', 'margin', 'rose', 'percent', 'percent', 'yearago', 'quarter']"
1821,"['tip', 'week', 'panfish', 'like', 'bluegill', 'great', 'fun', 'catch', 'especially', 'child', 'new', 'fishing']"
1494,"['le', 'coq', 'special', 'developed', 'bicentenary', 'company', 'trade', 'mark', 'brewer', 'said']"
2401,"['alma', 'medium', 'hold', 'company', 'remaining', 'share', 'owned', 'company', 's', 'key', 'employee']"
1232,"['glaston', 's', 'wellknown', 'brand', 'bavelloni', 'preprocessing', 'machine', 'tool', 'tamglass', 'uniglass', 'safety', 'glass', 'machine', 'albat', 'wirsam', 'software', 'solution']"
2725,"['lemiste', 'city', 'environment', 'knowledgebased', 'economy', 'providing', 'work', 'people', 'total', 'turnover', 'company', 'amounting', 'eek', 'bn', 'said', 'lo', 'pærnits', 'chairman', 'supervisory', 'board', 'lemiste', 'city', 'mainor']"
1153,"['according', 'finnair', 'technical', 'service', 'measure', 'employment', 'situation']"
4347,"['equipment', 'designated', 'bollore', 'africa', 'logistics', 'terminal', 'societe', 'dexploitation', 'du', 'terminal', 'vridi', 'setv', 'abidjan', 'ivory', 'coast', 'delivery', 'scheduled', 'start', 'march']"
57,"['sale', 'department', 'store', 'division', 'increased', 'sale', 'clothing', 'store', 'subsidiary', 'seppala', 'increased', 'sale', 'hobby', 'hall', 'decreased']"
3220,"['contract', 'incorporates', 'convergent', 'charging', 'rating', 'solution', 'voice', 'data', 'includes', 'internet', 'gprs', 'sm', 'mm', 'wap']"
4274,"['resignation', 'effect', 'immediately']"
4792,"['building', 'home', 'improvement', 'trade', 'sale', 'decreased', 'eur', 'mn']"
1735,"['partially', 'offset', 'mln', 'eur', 'gain', 'sale', 'celbi', 'pulp', 'plant', 'portugal']"
2196,"['teliasonera', 'secured', 'delivery', 'g', 'modem', 'support', 'g', 'g', 'second', 'quarter']"
3371,"['talk', 'involved', 'food', 'ingredient', 'division', 'group', 'service', 'function', 'company', 'said']"
2475,"['helsinkibased', 'componenta', 'bought', 'turkish', 'listed', 'company', 'doktas', 'october', 'million', 'euro', 'making', 'largest', 'finnish', 'investment', 'turkey', 'date']"
2564,"['sponda', 'plc', 's', 'annual', 'general', 'meeting', 'decided', 'march', 'establish', 'shareholder', 'nomination', 'committee', 'prepare', 'proposal', 'annual', 'general', 'meeting', 'composition', 'board', 'director', 'remuneration']"
2997,"['kaupthing', 'forecast', 'significant', 'price', 'increase', 'printing', 'paper']"
4216,"['adpnews', 'dec', 'finnish', 'cutlery', 'hand', 'tool', 'maker', 'fiskars', 'oyj', 'abp', 'hel', 'fisa', 'said', 'today', 'make', 'redundant', 'total', 'office', 'management', 'staff', 'member', 'subsidiary', 'iittala', 'group']"
3466,"['cash', 'flow', 'operating', 'activity', 'investment', 'eur', 'million']"
707,"['export', 'make', 'cent', 'sale', 'glaston', 'reflects', 'truly', 'internationally', 'operating', 'company', 'explains', 'kyro', 's', 'president', 'ceo', 'mika', 'seitovirta']"
4151,"['according', 'swedish', 'authority', 'trace', 'toxic', 'osmium', 'tetroxide', 'coast', 'peræmeri', 'northernmost', 'gulf', 'bothnia']"
1093,"['guidance', 'set', 'basis', 'point', 'midswaps', 'report', 'said']"
3379,"['total', 'size', 'complex', 'm', 'project', 'constructed', 'stage']"
1376,"['effect', 'saving', 'noticeable', 'beginning']"
72,"['maximum', 'new', 'share', 'subscribed', 'exercising', 'b', 'option', 'stock', 'option', 'plan']"
1922,"['method', 'utilises', 'waterborne', 'ultra', 'product', 'giving', 'protection', 'wooden', 'surface', 'industrial', 'painting', 'process', 'layer', 'coat', 'applied', 'exterior', 'wooden', 'panel', 'board', 'separate', 'primer']"
3012,"['spokesperson', 'told', 'wwd', 'expect', 'mix', 'clothing', 'home', 'decor']"
1764,"['goal', 'secure', 'company', 's', 'profitability', 'competitiveness']"
743,"['patja', 'worked', 'decade', 'fujitsu', 's', 'new', 'bid', 'competitive']"
4750,"['operating', 'profit', 'fourth', 'quarter', 'fell', 'eurm', 'eurm', 'year', 'earlier']"
1005,"['plant', 'ground', 'continue', 'grow', 'success', 'garden', 'lie', 's', 'maintained']"
1190,"['capman', 'investment', 'area', 'capman', 'buyout', 'capman', 'technology', 'capman', 'life', 'science', 'capman', 'real', 'estate', 'dedicated', 'team']"
3483,"['new', 'unit', 'major', 'investment', 'finnish', 'medium', 'scene']"
4152,"['finnish', 'airline', 'finnair', 'starting', 'temporary', 'layoff', 'cabin', 'crew', 'february']"
1125,"['director', 'shareholder', 'alike', 'ask', 'practice', 'allowed', 'continue']"
1241,"['hkscan', 'leading', 'food', 'company', 'northern', 'europe', 'homemarkets', 'finland', 'sweden', 'baltic', 'country', 'poland']"
2704,"['offer', 'customer', 'solution', 'based', 'renewable', 'raw', 'material']"
3936,"['value', 'deal', 'disclosed']"
3265,"['gypsii', 'mobile', 'social', 'networking', 'application', 'available', 'china', 'chinese', 'english', 'language', 'support']"
998,"['inventor', 'issued', 'patent']"
3423,"['includes', 'eur', 'mn', 'change', 'fair', 'value', 'investment', 'property']"
1577,"['pharmaceutical', 'belgium', 'brandnew', 'market', 'analysis', 'give', 'clear', 'overview', 'actual', 'situation', 'future', 'outlook', 'pharmaceutical', 'market', 'belgium']"
4646,"['sanoma', 'news', 'advertising', 'sale', 'decreased', 'year']"
1826,"['delighted', 'welcome', 'elisa', 'board', 'director', 'said', 'garry', 'mcguire', 'ceo', 'rmg', 'network']"
4518,"['typical', 'enduses', 'include', 'roof', 'structure', 'flooring', 'wall', 'ceiling', 'nonvisible', 'structure', 'vehicle', 'packaging', 'box', 'construction', 'site', 'structure', 'fencing', 'shelter', 'formwork', 'limited', 'number', 'concrete', 'pourings']"
4835,"['baltic', 'state', 'company', 'report', 'net', 'sale', 'eur', 'mn', 'eur', 'mn', 'operative', 'ebit', 'eur', 'mn', 'eur', 'mn']"
3355,"['seller', 'eos', 'innovationsmanagement', 'group', 'private', 'individual']"
440,"['nokia', 'messaging', 'enables', 'customer', 'receive', 'email', 'email', 'account', 'mobile', 'phone', 'supporting', 'pop', 'imap', 'email', 'service']"
4798,"['nokia', 's', 'share', 'price', 'fell', 'percent', 'euro', 'helsinki', 'siemens', 'share', 'fell', 'percent', 'euro', 'frankfurt']"
1100,"['market', 'making', 'accordance', 'agreement', 'begin', 'september']"
3800,"['company', 'plan', 'increase', 'unit', 's', 'specialist', 'staff', 'dozen', 'depending', 'market', 'situation']"
2902,"['finnish', 'investor', 'scanfil', 'oyj', 'hel', 'scfv', 'said', 'friday', 'bought', 'million', 'share', 'norwegian', 'contract', 'electronics', 'manufacturer', 'kitron', 'asa', 'osl', 'kit', 'nok', 'million', 'usd', 'meur', 'm']"
649,"['month', 'company', 's', 'net', 'loss', 'narrowed', 'eur', 'eur', 'm', 'corresponding', 'period']"
1546,"['strong', 'asset', 'electronic', 'medium', 'employing', 'increase', 'percent', 'year']"
3357,"['serial', 'bond', 'plan', 'refinance', 'shortterm', 'credit', 'facility']"
3378,"['total', 'service', 'concept', 'includes', 'technology', 'service', 'raute', 'support', 'customer', 'entire', 'life', 'cycle', 'investment']"
3768,"['bank', 'expects', 'additional', 'cost', 'related', 'dash', 'q', 'jet', 'group', 'shelved', 'october']"
630,"['repair', 'maintenance', 'business', 'accounted', 'net', 'sale', 'eur', 'mn', 'eur', 'mn']"
672,"['company', 'slipped', 'operating', 'loss', 'eur', 'million', 'profit', 'eur', 'million']"
1249,"['finland', 'export', 'industry', 'form', 'large', 'clientele', 'packaging', 'industry']"
482,"['cargotec', 's', 'share', 'capital', 'increase', 'total', 'euro']"
1584,"['pulkovo', 'park', 'ready', 'stage', 'sq', 'm', 'finished', 'quarter']"
4741,"['september', 'market', 'declined', 'percent', 'yearonyear', 'million', 'liter']"
2882,"['eriikka', 's¦derstr¦m', 'previously', 'held', 'position', 'finance', 'control', 'nokia', 'network', 'including', 'acting', 'business', 'group', 'controller', 'having', 'corporate', 'controller', 'position', 'nokia', 'siemens', 'network']"
1462,"['approval', 'shareholder', 'cencorp', 'accordance', 'finnish', 'law']"
3722,"['pharmaceutical', 'market', 'italy', 'global', 'research', 'data', 'service', 'published', 'recently', 'market', 'analysis', 'pharmaceutical', 'market', 'italy']"
3435,"['uncertainty', 'exist']"
2578,"['telecom', 'foreign', 'investment', 'limit', 'appears', 'mobile', 'va', 'doe', 'mean', 'tecnomen', 'pick']"
49,"['company', 's', 'order', 'book', 'stood', 'bln', 'euro', 'bln', 'september', 'pct', 'year', 'international', 'order', 'amounting', 'mln', 'euro', 'mln']"
4159,"['finnish', 'publishing', 'printing', 'group', 'ilkkayhtymæ', 'introduced', 'staff', 'smoking', 'ban', 'beginning', 'company', 's', 'newspaper']"
2900,"['finnish', 'investment', 'company', 'neomarkka', 'main', 'owner', 'kuitu', 'finland', 's', 'successor']"
858,"['kone', 's', 'factory', 'located', 'ayanambakkam', 'suburb', 'west', 'chennai', 'fully', 'integrated', 'facility', 'give', 'capability', 'address', 'cost']"
1072,"['professional', 'consumer', 'application', 'include', 'personal', 'navigation', 'personal', 'safety', 'field', 'workflow', 'management', 'asset', 'tracking']"
719,"['operating', 'result', 'including', 'nonrecurring', 'item', 'rose', 'eur', 'mn', 'loss', 'eur', 'mn']"
4581,"['operating', 'profit', 'month', 'period', 'decreased', 'eur', 'm', 'net', 'sale', 'increased', 'eur', 'm', 'compared', 'financial', 'year']"
2631,"['firm', 's', 'uk', 'head', 'office', 'rugby', 'road', 'lutterworth']"
1660,"['total', 'investment', 'necessary', 'eurm', 'company', 'estimated']"
1656,"['study', 'evaluated', 'safety', 'tolerability', 'pharmacokinetics', 'repeated', 'dos', 'intravenously', 'administered', 'antibody', 'patient', 'active', 'plaque', 'psoriasis']"
2425,"['catalyst', 'segment', 'includes', 'refinery', 'catalyst', 'polyolefin', 'catalyst', 'product', 'category']"
4491,"['stora', 'enso', 'said', 'delight', 'suitable', 'wide', 'range', 'application', 'including', 'food', 'cosmetic', 'home', 'decoration', 'leisure', 'product']"
4102,"['cutting', 'number', 'plant', 'group', 'trim', 'fixed', 'cost']"
4821,"['operating', 'margin', 'slipped', 'dragged', 'poor', 'performance', 'enterprise', 'solution']"
4352,"['measure', 'result', 'statutory', 'joint', 'negotiation', 'employee', 'started', 'february', 'concerned', 'operation', 'country']"
4546,"['biotie', 'northamerican', 'licensing', 'partner', 'somaxon', 'pharmaceutical', 'started', 'phase', 'iiiii', 'clinical', 'study', 'patient', 'suffering', 'pathological', 'gambling', 'pilot', 'phase', 'ii', 'study', 'nicotine', 'addiction', 'smoking', 'cessation']"
4609,"['pm', 'omx', 'helsinki', 'pct', 'lower', 'omx', 'helsinki', 'pct', 'volume', 'mln', 'eur']"
3932,"['value', 'contract', 'eur', 'm', 'poyry', 'headquartered', 'vantaa', 'finland', 'provides', 'consulting', 'engineering', 'service', 'energy', 'forestry', 'infrastructure', 'environment', 'sector']"
2606,"['company', 'said', 'focus', 'resource', 'clinical', 'research']"
1385,"['group', 'owns', 'operates', 'fleet', 'dwt', 'container', 'capacity', 'teus', 'manages', 'diversified', 'fleet', 'railway', 'rolling', 'stock', 'unit']"
3631,"['finland', 'alma', 'medium', 'focus', 'quality', 'developing', 'chain', 'operation']"
1399,"['objective', 'st', 'petersburg', 'office', 'boost', 'company', 's', 'maintenance', 'business']"
1195,"['change', 'announced', 'today', 'effective', 'close', 'trading', 'friday', 'june']"
1408,"['port', 'operator', 'favor', 'retaining', 'port', 'fee', 'citing', 'owner', 'governemtn', 'estonia', 'commiting', 'port', 'pay', 'eek', 'mn', 'eur', 'mn', 'usd', 'mn', 'dividend', 'state', 'eek', 'mn']"
4086,"['ebit', 'excluding', 'nonrecurring', 'item', 'estimated', 'increase']"
1798,"['according', 'bosse', 'present', 'cooperation', 'beneficial', 'party']"
1475,"['small', 'targeted', 'acquisition', 'played', 'important', 'role', 'executing', 'satama', 's', 'strategy', 'past', 'couple', 'year']"
3052,"['financial', 'information', 'provided']"
35,"['february', 'finnish', 'medium', 'company', 'sanoma', 'oyj', 'hel', 'saav', 'said', 'yesterday', 'net', 'profit', 'tripled', 'eur', 'm', 'eur', 'm', 'announced', 'proposal', 'raised', 'payout']"
3529,"['analyst', 'surveyed', 'thomson', 'financial', 'expected', 'revenue', 'million', 'quarter']"
2345,"['according', 'latest', 'information', 'benefon', 'launch', 'twig', 'device', 'september']"
3879,"['order', 'consists', 'outsourced', 'application', 'management', 'support', 'planning', 'tecnotree', 'thirdparty', 'application']"
2359,"['share', 'subscribed', 'series', 'e', 'share', 'option', 'max']"
2206,"['company', 'closed', 'year', 'turnover', 'million', 'euro']"
3566,"['currently', 'operates', 'fleet', 'carrier', 'pusher', 'barge']"
1286,"['metso', 'global', 'supplier', 'sustainable', 'technology', 'service', 'mining', 'construction', 'power', 'generation', 'automation', 'recycling', 'pulp', 'paper', 'industry']"
349,"['market', 'share', 'rose', 'percent', 'percent', 'year', 'earlier']"
2137,"['projected', 'revenue', 'billion', 'billion', 'slightly', 'higher', 'analyst', 'estimate', 'billion']"
2691,"['company', 's', 'contract', 'abroad']"
2825,"['barclays', 'plc', 'lse', 'barc', 'nyse', 'bcs', 'credit', 'agricole', 'sa', 'epa', 'aca', 'cagr']"
2964,"['volume', 'focus', 'outside', 'finland', 'group', 's', 'product', 'poland', 'baltic', 'country']"
1681,"['today', 'connecting', 'people', 'new', 'different', 'way', 'fusing', 'advanced', 'mobile', 'technology', 'personalized', 'service', 'enable', 'people', 'stay', 'close', 'matter']"
3811,"['contract', 'includes', 'option', 'deliver', 'additional', 'ascs', 'phase', 'project']"
1443,"['group', 's', 'balance', 'sheet', 'eur', 'm', 'goodwill', 'company', 'added']"
3078,"['pa', 'jpmorgan', 'chase', 'nyse', 'jpm', 'pohjoa', 'bank', 'joint', 'leadmanagers', 'senior', 'unsecured', 'deal']"
1671,"['organization', 'assume', 'responsibility', 'operation', 'russia']"
4564,"['altogether', 'finnair', 'canceled', 'flight', 'strike']"
1179,"['result', 'negotiation', 'employment', 'blue', 'whitecollar', 'employee', 'oulu', 'plant', 'terminated']"
4002,"['total', 'mn', 'passenger', 'ship', 'journey', 'took', 'place', 'northern', 'baltic', 'sea', 'slightly', 'mn']"
3668,"['adp', 'news', 'jan', 'finnish', 'industrial', 'environmental', 'measurement', 'equipment', 'maker', 'vaisala', 'oyj', 'omx', 'vaias', 'said', 'yesterday', 'develop', 'operational', 'reference', 'radiosonde', 'climate', 'change', 'observation']"
372,"['company', 'intensifying', 'smelter', 'operation', 'increasing', 'annual', 'production', 'capacity', 'tonne', 'copper']"
3424,"['domestically', 'neighboring', 'market', 'organically', 'acquisition']"
1916,"['company', 'celebrates', 'fiftieth', 'anniversary', 'year', 'exporting', 'distinctive', 'detached', 'home', 'central', 'europe', 'decade']"
1357,"['business', 'section', 'includes', 'ahlstrom', 's', 'sustainability', 'report']"
1825,"['qpr', 'integrated', 'management', 'fastest', 'easiest', 'efficient', 'way', 'organization', 'world', 'control', 'humancentric', 'business', 'process']"
786,"['estimated', 'synergy', 'benefit', 'eurm', 'annually']"
469,"['sale', 'oxygen', 'measurement', 'business', 'strengthens', 'goal', 'focus', 'chosen', 'market', 'segment']"
140,"['according', 'finnish', 'metso', 'mineral', 'value', 'company', 's', 'order', 'gone', 'eur', 'bn', 'month']"
788,"['group', 's', 'business', 'balanced', 'broad', 'portfolio', 'sport', 'presence', 'major', 'market']"
323,"['commission', 'income', 'rose', 'eur', 'mn', 'eur', 'mn']"
3905,"['solution', 'installed', 'usa', 'support', 'north', 'american', 'operation', 'customer']"
714,"['stock', 'price', 'rose', 'ore', 'close', 'sek', 'ending', 'twoday', 'streak', 'loss']"
4353,"['ntsb', 'said', 'investigator', 'set', 'conduct', 'sight', 'distance', 'test', 'july', 'using', 'train', 'similar', 'involved', 'accident']"
2446,"['erkki', 'jarvinen', 'president', 'rautakirja', 'head', 'sanoma', 'trade', 'division', 'leave', 'current', 'task', 'spring', 'similar', 'position', 'outside', 'sanoma', 'group']"
4668,"['diluted', 'earnings', 'share', 'eps', 'declined', 'eur', 'eur']"
4284,"['bad', 'news', 'barbeque', 'season']"
4458,"['based', 'unique', 'fiber', 'expertise', 'innovative', 'approach', 'company', 'strong', 'market', 'position', 'business', 'area', 'operates']"
2859,"['cramo', 'service', 'company', 'specialising', 'construction', 'machinery', 'equipment', 'rental', 'rentalrelated', 'service', 'rental', 'sale', 'modular', 'space']"
2666,"['plan', 'result', 'introduction', 'new', 'highly', 'specialized', 'manufacturing', 'method', 'entail', 'change', 'personnel', 'facility']"
406,"['mall', 'baltic', 'pearl', 'development', 'project', 'city', 'st', 'petersburg', 'baltic', 'pearl', 'cjsc', 'subsidiary', 'shanghai', 'foreign', 'joint', 'investment', 'company', 'developing', 'home', 'people']"
3187,"['company', 'doe', 'disclose', 'sum', 'applied']"
1004,"['bg', 'crane', 'strong', 'partner', 'hiab', 'australia', 'year']"
4468,"['dutch', 'broker', 'noted', 'nokian', 'tyre', 'reported', 'good', 'quarter', 'line', 'consensus']"
890,"['acquisition', 'immediate', 'positive', 'impact', 'aspocomp', 's', 'financial', 'result']"
2411,"['reported', 'june', 'circuit', 'continued', 'alternately', 'report', 'track', 'vacant', 'occupied', 'constantly', 'june', 'track', 'signaling', 'device', 'replaced', 'time', 'crash', 'according', 'metro', 'source']"
2545,"['poyry', 'plc', 'additional', 'information', 'heikki', 'malinen', 'president', 'ceo', 'poyry', 'plc', 'tel', 'poyry', 'global', 'expert', 'consulting', 'engineering']"
3259,"['midnighttrader', 'extendedhours', 'trading', 'analysis', 'news', 'service', 'available', 'realtime', 'comtex']"
2390,"['according', 'notification', 'holding', 'ameriprice', 'group', 'company', 'total', 'share', 'represent', 'tekla', '\x93', 's', 'share', 'voting', 'right']"
3732,"['rim', 'revamped', 'blackberry', 'o', 'ui', 'version', 'mobile', 'operating']"
42,"['nyrstar', 'agreed', 'supply', 'talvivaara', 'tonne', 'sulphuric', 'acid', 'annum', 'use', 'talvivaara', 's', 'leaching', 'process', 'period', 'supply', 'zinc', 'concentrate']"
3142,"['technopolis', 'approximately', 'customer', 'company', 'jyvaskyla']"
303,"['transaction', 'increase', 'earnings', 'share', 'quarter', 'eur']"
4378,"['food', 'sale', 'totalled', 'eur', 'mn', 'october', 'representing', 'decrease', 'october']"
3548,"['capman', 'stockholmheadquartered', 'private', 'equity', 'firm', 'held', 'close', 'second', 'private', 'equity', 'real', 'estate', 'fund', 'continues', 'push', 'property', 'sector']"
664,"['cost', 'new', 'ropax', 'vessel', 'lower', 'present', 'one']"
1177,"['apart', 'nordea', 'ergo', 'competing', 'position', 'pension', 'fund', 'provider', 'estonia']"
2676,"['sale', 'savcor', 'face', 'cencorp', 'result', 'profit', 'loss', 'determined', 'owing', 'factor', 'including', 'valuation', 'consideration', 'share', 'received', 'prevailing', 'exchange', 'rate']"
1947,"['metsaliitto', 'said', 'book', 'minor', 'gain', 'eur', 'm', 'transaction']"
2501,"['lt', 'operative', 'finland', 'sweden', 'latvia', 'russia', 'norway']"
1473,"['vaalipalveluservice', 'especially', 'developed', 'use', 'community', 'organization']"
3339,"['purchase', 'price', 'disclosed']"
2132,"['turned', 'earnings', 'share', 'eps', 'eur', 'versus', 'loss', 'share', 'eur']"
1026,"['arto', 'ryymin', 'born', 'replace', 'juhani', 'kaisanlahti', 'worked', 'acting', 'evp', 'healthcare', 'welfare', 'august']"
961,"['operating', 'profit', 'improved', 'er', 'mn', 'eur', 'mn']"
2009,"['e', 's', 'building', 'service', 'revenue', 'eur', 'mln']"
2149,"['metso', 'supply', 'equipment', 'process', 'line', 'northland', 'resource', 'new', 'kaunisvaara', 'iron', 'ore', 'project', 'sweden', 'exploit', 'tapuli', 'sahavaara', 'iron', 'ore', 'deposit']"
3154,"['megawatt', 'wind', 'farm', 'planned', 'raahe', 'built', 'offshore', 'ruukki', 's', 'raahe', 'work']"
2338,"['seat', 'edgar', 'edmonds', 'american', 'experience', 'clothing', 'retail', 'industry', 'christian', 'fischer', 'austrian', 'experience', 'winter', 'sport', 'good', 'business']"
3682,"['motorola', 'united', 'state', 'came', 'second', 'shipment', 'million', 'unit', 'percent', 'market', 'share', 'followed', 'south', 'korea', 's', 'samsung', 'electronics', 'shipment', 'million', 'unit', 'percent', 'share']"
304,"['recovery', 'base', 'metal', 'price', 'increased', 'demand', 'metal', 'china']"
1440,"['race', 'google', 'lot', 'user', 'service', 'social', 'networking', 'creates', 'new', 'business', 'model', 'said', 'martin', 'garner', 'londonbased', 'analyst', 'cc', 'insight']"
1496,"['finnish', 'construction', 'company', 'yit', 'corporation', 'planning', 'build', 'highquality', 'holiday', 'home', 'near', 'tahko', 'ski', 'spa', 'resort', 'finland']"
2652,"['money', 'spread', 'mainly', 'company', 'said']"
916,"['agreement', 'geosentric', 'provide', 'gypsiipowered', 'hotel', 'information', 'reservation', 'service', 'visitor', 'china', 'including', 'popular', 'city', 'beijing', 'shanghai']"
4025,"['reporting', 'period', 'eps', 'stood', 'eur', 'versus', 'eur']"
3526,"['paper', 'issue', 'stora', 'enso', 'r', 'little', 'changed', 'pct', 'eur', 'upmkymmene', 'pct', 'higher', 'eur', 'mreal', 'b', 'added', 'pct', 'eur']"
2772,"['affectogenimap', 'build', 'highly', 'customised', 'solution', 'customer', 'finland', 'baltic', 'country']"
1624,"['contractor', 'shopping', 'center', 'china', 'state', 'construction', 'engineering', 'corporation', 'previously', 'built', 'airport', 'hotel', 'factory', 'large', 'international', 'customer', 'different', 'part', 'world']"
3633,"['finland', 'finnish', 'pharmaceutical', 'company', 'orion', 'corporation', 'omx', 'helsinki', 'ornav', 'said', 'wednesday', 'january', 'concluded', 'personnel', 'negotiation', 'finland', 'reduce', 'number', 'personnel']"
821,"['raisio', 's', 'division', 'recorded', 'operating', 'profit']"
3132,"['stockmann', 'swedish', 'sector', 'company', 'ab', 'lindex', 'entered', 'agreement', 'september', 'stockmann', 'whollyowned', 'subsidiary', 'make', 'public', 'tender', 'offer', 'lindex', 's', 'issued', 'share']"
1354,"['broker', 'started', 'upmkymmene', 'stora', 'enso', 'sappi', 'equalweight', 'recommendation', 'holmen', 'norske', 'skog', 'underweight', 'rating']"
4362,"['action', 'follows', 'personnel', 'negotiation', 'concerning', 'elcoteq', 'se', 'finnish', 'branch', 'elcoteq', 'finland', 'oy', 'elcoteq', 'design', 'center', 'oy']"
850,"['total', 'order', 'received', 'year', 's', 'level']"
1000,"['incap', 'corporation', 'stock', 'exchange', 'release', 'incap', 'corporation', 's', 'directed', 'share', 'issue', 'subscribed', 'board', 'incap', 'corporation', 'approved', 'subscription', 'directed', 'share', 'issue']"
3203,"['company', 'say', 'measure', 'longer', 'needed']"
18,"['incap', 'contract', 'manufacturing', 'service', 'pvt', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue']"
1637,"['important', 'export', 'market', 'norway', 'germany', 'russia', 'france']"
1667,"['responsible', 'operation', 'customer', 'relationship', 'development']"
493,"['generated', 'net', 'sale', 'eur', 'million', 'usd', 'm']"
3918,"['total', 'headcount', 'reduction', 'person', 'company', 'said']"
3532,"['consequence', 'merger', 'number', 'administration', 'personnel', 'factory', 'reduced']"
3651,"['application', 'market', 'invoice', 'purchase', 'requisition', 'approval', 'mobile', 'device']"
3428,"['tiimari', 's', 'registered', 'share', 'capital', 'share', 'today']"
